,Unnamed: 0,id,name,steam appid,required age,is free,release date,review_amount,review_score,total_positive_reviews,total_negative_reviews,price,currency,discount_percent,platforms.windows,platforms.mac,platforms.linux,revenue,number_reviews
2854,2854,451600,CounterAttack,451600,0,0,"11 Mar, 2019",20,8,108,8,12.49,EUR,0.0,1,1,1,1356.92,116
2855,2855,451630,Brute,451630,0,0,"17 May, 2017",13,7,12,1,4.99,EUR,0.0,1,0,0,60.88,13
2856,2856,451640,C14 Dating,451640,0,0,"22 Apr, 2016",20,7,36,4,19.99,EUR,0.0,1,1,1,723.64,40
2857,2857,451650,Whirligig VR Media Player,451650,0,0,"3 Apr, 2016",1,6,237,62,3.99,EUR,0.0,1,0,0,1007.63,299
2858,2858,451660,Trucker,451660,0,0,"21 Oct, 2016",20,5,10,10,1.99,EUR,0.0,1,0,0,29.9,20
2859,2859,451670,War Birds: WW2 Air strike 1942,451670,0,0,"18 Mar, 2016",18,3,2,16,3.99,EUR,0.0,1,1,1,23.98,18
2860,2860,451700,Secrets of Deep Earth Shrine,451700,0,0,"3 May, 2016",1,0,1,0,0.79,EUR,0.0,1,1,0,0.79,1
2861,2861,451760,Highway Blossoms,451760,0,0,"17 Jun, 2016",1,9,778,29,10.79,EUR,0.0,1,1,1,8423.619999999999,807
2862,2862,451060,Wincars Racer,451060,0,0,"18 Nov, 2016",2,0,0,2,11.99,EUR,0.0,1,0,0,2.0,2
2863,2863,451080,Giant Cop: Justice Above All,451080,0,0,"30 May, 2017",20,5,17,8,22.99,EUR,0.0,1,0,0,398.83,25
2864,2864,451100,Cubikolor,451100,0,0,"20 May, 2016",4,0,4,0,7.99,EUR,0.0,1,1,0,31.96,4
2865,2865,451130,Khan: Absolute Power,451130,0,1,"18 Mar, 2016",2,0,1,1,,,,1,0,0,,2
2866,2866,451140,Drawn®: Dark Flight™ Collector's Edition,451140,0,0,"8 Mar, 2016",20,6,15,5,9.99,EUR,0.0,1,0,0,154.85,20
2867,2867,451200,Candlelight,451200,0,0,"15 Mar, 2016",8,0,8,0,12.49,EUR,0.0,1,0,0,99.92,8
2868,2868,451210,Rocket Shooter,451210,0,0,"31 Mar, 2016",3,0,1,2,6.99,EUR,0.0,1,0,0,8.99,3
